title,price,location,neighborhood,rooms,bathrooms,area_m2,publisher,url
Casa en  Venta en Tunja,1300000000.0,"Tunja, Boyaca",N/A,5,5,380,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273941
Casa en  Venta en Tunja,450000000.0,"Tunja, Boyaca",N/A,6,4,175,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273728
Casa en  Venta en Tunja,680000000.0,"Tunja, Boyaca",N/A,5,4,280,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273542
Casa en venta en Tunja,260000000.0,"Tunja, Boyaca",N/A,2,2,90,INMOBILIARIA LOS LANCEROS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/10717481
Casa en  Venta en Tunja,690000000.0,"Tunja, Boyaca",N/A,4,3,254,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191962337
Casa en Venta en Tunja,540000000.0,"Tunja, Boyaca",N/A,6,3,194,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192263386
"Casa en venta en Pirgua, Tunja",1100000000.0,"Tunja, Boyaca",Pirgua,3,3,140,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta-en-pirgua-tunja/10112202
Casa en Venta en Tunja,850000000.0,"Tunja, Boyaca",N/A,6,4,340,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192265156
Casa en  Venta en Tunja,340000000.0,"Tunja, Boyaca",N/A,6,6,200,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191274023
Casa en Venta en Tunja,220000000.0,"Tunja, Boyaca",N/A,3,2,79,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192265180
"Casa en Venta en Santa ines, Tunja",850000000.0,"Tunja, Boyaca",Santa Ines,6,5,239,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-santa-ines-tunja/192265177
Casa en  Venta en Tunja,410000000.0,"Tunja, Boyaca",N/A,3,3,127,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273729
Casa en Venta en Tunja,230000000.0,"Tunja, Boyaca",N/A,3,N/A,78,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192263367
"Casa en  Venta en La florida, Tunja",450000000.0,"Tunja, Boyaca",La Florida,5,4,220,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-la-florida-tunja/192123603
Casa en  Venta en Tunja,480000000.0,"Tunja, Boyaca",N/A,4,3,99,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273233
Casa en  Venta en Tunja,650000000.0,"Tunja, Boyaca",N/A,4,4,228,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191627179
"Casa en venta en Cr. remanso de santa ines, Tunja",500000000.0,"Tunja, Boyaca",Cr. Remanso De Santa Ines,3,4,220,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-cr-remanso-de-santa-ines-tunja/7705589
Casa en Venta en Tunja,465000000.0,"Tunja, Boyaca",N/A,3,2,140,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192380182
